用例编号,所属产品,所属模块,相关需求,用例标题,前置条件,步骤,预期,实际情况,关键词,优先级,用例类型,适用阶段,用例状态,B,R,S,结果,由谁创建,创建日期,最后修改者,修改日期,用例版本,相关用例
2031,WoniuBossERP(#1),/市场营销(#3),账号权限,管理员账号登录，正确输入解密账号，解密权限检查,成功登录，进入市场营销,"1.点击解密
2.输入解密账号【woniu123】
3.点击“确定”","1.系统弹出解密窗口
2.解密账号成功输入
3.解密成功，加密信息变为明文显示",,,1,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2032,WoniuBossERP(#1),/市场营销(#3),账号权限,管理员账号登录，错误输入解密账号，解密权限检查,成功登录，进入市场营销,"1.点击解密
2.输入解密账号【woniu12】
3.点击“确定”","1.系统弹出解密窗口
2.解密账号成功输入
3.系统提示“二级密码错误”，解密不成功，显示为加密信息",,,1,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2033,WoniuBossERP(#1),/市场营销(#3),账号权限,管理员账号登录，解密账号输入为空，解密权限检查,成功登录，进入市场营销,"1.点击解密
2.解密账号为空
3.点击“确定”","1.系统弹出解密窗口
2.解密账号为空
3.系统提示“二级密码为空”，解密不成功，显示为加密信息",,,1,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2034,WoniuBossERP(#1),/市场营销(#3),账号权限,管理员账号登录，解密账号输入长字符串，解密权限检查,成功登录，进入市场营销,"1.点击解密
2.解密账号输入10000字符
3.点击“确定”","1.系统弹出解密窗口
2.解密账号为空
3.3.系统提示“二级密码错误”，解密不成功，显示为加密信息",,,1,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2035,WoniuBossERP(#1),/市场营销(#3),账号权限,总经理账号登录，解密权限检查,成功登录，进入市场营销,"1.点击解密
2.输入解密账号【woniu123】
3.点击“确定”","1.系统弹出解密窗口
2.解密账号成功输入
3.解密成功，加密信息变为明文显示",,,1,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2036,WoniuBossERP(#1),/市场营销(#3),账号权限,副总经理账号登录，解密权限检查,成功登录，进入市场营销,"1.点击解密
2.输入解密账号【woniu123】
3.点击“确定”","1.系统弹出解密窗口
2.解密账号成功输入
3.解密成功，加密信息变为明文显示",,,1,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2037,WoniuBossERP(#1),/市场营销(#3),账号权限,咨询主管账号登录，解密权限检查,成功登录，进入市场营销,"1.点击解密
2.输入解密账号【woniu123】
3.点击“确定”","1.系统弹出解密窗口
2.解密账号成功输入
3.解密不成功，系统提示“当前账户无权限”，显示为加密信息",,,1,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2038,WoniuBossERP(#1),/市场营销(#3),账号权限,教学主管账号登录，解密权限检查,成功登录，进入市场营销,"1.点击解密
2.输入解密账号【woniu123】
3.点击“确定”","1.系统弹出解密窗口
2.解密账号成功输入
3.解密不成功，系统提示“当前账户无权限”，显示为加密信息",,,1,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2039,WoniuBossERP(#1),/市场营销(#3),账号权限,咨询师账号登录，解密权限检查,成功登录，进入市场营销,"1.点击解密
2.输入解密账号【woniu123】
3.点击“确定”","1.系统弹出解密窗口
2.解密账号成功输入
3.解密不成功，系统提示“当前账户无权限”，显示为加密信息",,,1,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2040,WoniuBossERP(#1),/市场营销(#3),账号权限,讲师账号登录，解密权限检查,成功登录，进入市场营销,"1.点击解密
2.输入解密账号【woniu123】
3.点击“确定”","1.系统弹出解密窗口
2.解密账号成功输入
3.解密不成功，系统提示“当前账户无权限”，显示为加密信息",,,1,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2041,WoniuBossERP(#1),/市场营销(#3),账号权限,财务账号登录，解密权限检查,成功登录，进入市场营销,"1.点击解密
2.输入解密账号【woniu123】
3.点击“确定”","1.系统弹出解密窗口
2.解密账号成功输入
3.解密不成功，系统提示“当前账户无权限”，显示为加密信息",,,1,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2042,WoniuBossERP(#1),/市场营销(#3),账号权限,就业老师账号登录，解密权限检查,成功登录，进入市场营销,"1.点击解密
2.输入解密账号【woniu123】
3.点击“确定”","1.系统弹出解密窗口
2.解密账号成功输入
3.解密不成功，系统提示“当前账户无权限”，显示为加密信息",,,1,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2043,WoniuBossERP(#1),/市场营销(#3),账号权限,市场人员账号登录，解密权限检查,成功登录，进入市场营销,"1.点击解密
2.输入解密账号【woniu123】
3.点击“确定”","1.系统弹出解密窗口
2.解密账号成功输入
3.解密成功，加密信息变为明文显示",,,1,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2044,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态，开始时间、结束时间为空为空，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【全部】
2.下拉框“状态”选择【全部】
3.开始时间为空
4.结束时间为空
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间为空
4.结束时间为空
5.显示内容列表，包括（
姓名、区域、来源、状态、电话号码、qq号码年龄、咨询师、入库时间）
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2045,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态，开始时间、结束时间为空，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【成都】
2.下拉框“状态”选择【全部】
3.开始时间为空
4.结束时间为空
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间为空
4.结束时间为空
5.显示内容列表，包括（
姓名、区域、来源、状态、电话号码、qq号码年龄、咨询师、入库时间）
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2046,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态，开始时间、结束时间为空，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【重庆】
2.下拉框“状态”选择【全部】
3.开始时间为空
4.结束时间为空
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间为空
4.结束时间为空
5.显示内容列表，包括（
姓名、区域、来源、状态、电话号码、qq号码年龄、咨询师、入库时间）
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2047,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态，开始时间、结束时间为空，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【西安】
2.下拉框“状态”选择【全部】
3.开始时间为空
4.结束时间为空
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间为空
4.结束时间为空
5.显示内容列表，包括（
姓名、区域、来源、状态、电话号码、qq号码年龄、咨询师、入库时间）
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2048,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态，开始时间、结束时间为空，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【全部】
2.下拉框“状态”选择【新入库】
3.开始时间为空
4.结束时间为空
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间为空
4.结束时间为空
5.显示内容列表，包括（
姓名、区域、来源、状态、电话号码、qq号码年龄、咨询师、入库时间）
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2049,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态，开始时间、结束时间为空，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【全部】
2.下拉框“状态”选择【新认领】
3.开始时间为空
4.结束时间为空
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间为空
4.结束时间为空
5.显示内容列表，包括（
姓名、区域、来源、状态、电话号码、qq号码年龄、咨询师、入库时间）
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2050,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态，开始时间、结束时间为空，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【全部】
2.下拉框“状态”选择【已预约】
3.开始时间为空
4.结束时间为空
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间为空
4.结束时间为空
5.显示内容列表，包括（
姓名、区域、来源、状态、电话号码、qq号码年龄、咨询师、入库时间）
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2051,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态，开始时间、结束时间为空，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【全部】
2.下拉框“状态”选择【新入库】
3.开始时间为空
4.结束时间为空
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间为空
4.结束时间为空
5.显示内容列表，包括（
姓名、区域、来源、状态、电话号码、qq号码年龄、咨询师、入库时间）
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2052,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态，开始时间、结束时间为空，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【全部】
2.下拉框“状态”选择【已上门】
3.开始时间为空
4.结束时间为空
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间为空
4.结束时间为空
5.显示内容列表，包括（
姓名、区域、来源、状态、电话号码、qq号码年龄、咨询师、入库时间）
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2053,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态，开始时间、结束时间为空，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【全部】
2.下拉框“状态”选择【再投递】
3.开始时间为空
4.结束时间为空
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间为空
4.结束时间为空
5.显示内容列表，包括（
姓名、区域、来源、状态、电话号码、qq号码年龄、咨询师、入库时间）
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2054,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态，开始时间、结束时间为空，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【全部】
2.下拉框“状态”选择【已报名】
3.开始时间为空
4.结束时间为空
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间为空
4.结束时间为空
5.显示内容列表，包括（
姓名、区域、来源、状态、电话号码、qq号码年龄、咨询师、入库时间）
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2055,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态，开始时间、结束时间为空，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【全部】
2.下拉框“状态”选择【可跟进】
3.开始时间为空
4.结束时间为空
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间为空
4.结束时间为空
5.显示内容列表，包括（
姓名、区域、来源、状态、电话号码、qq号码年龄、咨询师、入库时间）
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2056,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态，开始时间、结束时间为空，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【全部】
2.下拉框“状态”选择【无意向】
3.开始时间为空
4.结束时间为空
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间为空
4.结束时间为空
5.显示内容列表，包括（
姓名、区域、来源、状态、电话号码、qq号码年龄、咨询师、入库时间）
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2057,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态，开始时间、结束时间为空，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【全部】
2.下拉框“状态”选择【未联系上】
3.开始时间为空
4.结束时间为空
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间为空
4.结束时间为空
5.显示内容列表，包括（
姓名、区域、来源、状态、电话号码、qq号码年龄、咨询师、入库时间）
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2058,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态，开始时间、结束时间为空，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【全部】
2.下拉框“状态”选择【培训过】
3.开始时间为空
4.结束时间为空
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间为空
4.结束时间为空
5.显示内容列表，包括（
姓名、区域、来源、状态、电话号码、qq号码年龄、咨询师、入库时间）
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2059,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态，开始时间、结束时间为空，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【全部】
2.下拉框“状态”选择【条件不符】
3.开始时间为空
4.结束时间为空
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间为空
4.结束时间为空
5.显示内容列表，包括（
姓名、区域、来源、状态、电话号码、qq号码年龄、咨询师、入库时间）
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
